stock_code,fiscal_year,seed_tfidf_E,seed_tfidf_S,seed_tfidf_G,expanded_tfidf_S,expanded_tfidf_G,g_signal_ratio,esg_signal_ratio,total_tokens,log_tokens,specificity,cosine_E,cosine_S,cosine_G,esg_year,esg_grade,esg_grade_num,e_grade_num,s_grade_num,g_grade_num
000880,2022,0.3281557346081151,0.12135151978670847,0.016611014742188138,0.1305697322701583,0.016611014742188138,0.007093488541287741,0.018443070207348127,27490,10.221613957361983,0.00018188432157148054,0.0920480308827871,0.04142619234059967,0.0012711088662163742,2023,B+,3,3,3,3
000880,2023,0.3034210792646147,0.1337477384438308,0.016551604803982874,0.14296894722654457,0.016551604803982874,0.006507121683175476,0.01771383124864435,27662,10.227851059207252,0.0002530547321234907,0.08901132134721824,0.04340471358740333,0.002318772339827781,2024,B+,3,4,3,3
000880,2024,0.2599280650515882,0.14867390368641722,0.02312561262070781,0.168475537990315,0.02312561262070781,0.006858022213301218,0.01639234577813462,29892,10.30537961825751,0.00013381506757660912,0.08508342677047726,0.05046474243721681,0.0022917286867722964,2025,A,4,4,4,3
000890,2022,0.0,0.011624013523329847,0.015842571167327246,0.03548991236310174,0.015842571167327246,0.01461675579322638,0.014973262032085561,2805,7.939515260662406,0.0,0.005871033460128563,0.006203960964374273,0.0,2023,D,0,0,0,0
000890,2023,0.0,0.009232456233899516,0.013900232619469896,0.030172336638522826,0.013900232619469896,0.013804173354735152,0.014125200642054575,3115,8.044305406990638,0.0,0.0038634226390970835,0.00711550515677806,0.0,2024,D,0,0,0,1
000890,2024,0.0,0.018137513609902716,0.013304208410387777,0.028158516157784107,0.013304208410387777,0.01424674143679903,0.01515610791148833,3299,8.101677747454572,0.0,0.0043140580164553015,0.009621923197493106,0.0,2025,D,0,0,0,1
000910,2022,0.0812760557090317,0.00921356060491526,0.003795142676442436,0.00921356060491526,0.003795142676442436,0.010789149198520346,0.016029593094944512,3244,8.08487062913819,0.0018495684340320592,0.022414677071470077,0.008006155769751604,0.0,2023,C,1,1,1,2
000910,2023,0.0783240458136684,0.01673177579544093,0.003723756422557827,0.01673177579544093,0.003723756422557827,0.00958945160323644,0.014683847767455798,3337,8.11312710422178,0.0017980221756068325,0.021696003210216665,0.009586168255340604,0.0,2024,C,1,1,1,2
000910,2024,0.07169350817197327,0.016857116687931526,0.0037516517851975874,0.016857116687931526,0.0037516517851975874,0.009447466361294017,0.014028056112224449,3493,8.158802490694002,0.0017177211565989122,0.0211633774452292,0.010085517375382446,0.0,2025,C,1,1,1,1
000950,2022,0.0,0.04995040434960146,0.0,0.04995040434960146,0.0,0.01733615221987315,0.019873150105708247,2365,7.768956044538332,0.0,0.006629105674622531,0.0033881042674825364,0.0,2023,D,0,1,1,0
