company_name,stock_code,corp_code,fiscal_year,esg_year,rcept_no,report_nm,rcept_dt,selection_priority,section_chars_II,section_chars_IV,section_chars_VI,total_chars,viewer_url,status,reason
케이티,030200,00190321,2023,2024,20240320001386,사업보고서 (2023.12),20240320,0,82307,13834,6492,102635,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320001386,SUCCESS,
케이티,030200,00190321,2024,2025,20250321001834,사업보고서 (2024.12),20250321,0,72351,13020,3744,89117,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250321001834,SUCCESS,
현대두산인프라코어,042670,00344287,2022,2023,20230317000838,사업보고서 (2022.12),20230317,0,19382,6209,6659,32252,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230317000838,SUCCESS,
HD현대인프라코어,042670,00344287,2023,2024,20240315000865,사업보고서 (2023.12),20240315,0,18122,5070,6592,29786,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240315000865,SUCCESS,
HD현대인프라코어,042670,00344287,2024,2025,20250317000883,사업보고서 (2024.12),20250317,0,16705,4624,7203,28534,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000883,SUCCESS,
현대홈쇼핑,057050,00412597,2022,2023,20230315001376,사업보고서 (2022.12),20230315,0,22306,6092,3752,32152,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230315001376,SUCCESS,
현대홈쇼핑,057050,00412597,2023,2024,20240315000790,사업보고서 (2023.12),20240315,0,42170,7001,4345,53518,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240315000790,SUCCESS,
현대홈쇼핑,057050,00412597,2024,2025,20250317000550,사업보고서 (2024.12),20250317,0,44513,9089,4698,58302,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250317000550,SUCCESS,
현대로템,064350,00302926,2022,2023,20230310001083,사업보고서 (2022.12),20230310,0,21934,4448,3313,29697,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230310001083,SUCCESS,
현대로템,064350,00302926,2023,2024,20240320000873,사업보고서 (2023.12),20240320,0,22128,4476,3204,29810,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240320000873,SUCCESS,
현대로템,064350,00302926,2024,2025,20250318000847,사업보고서 (2024.12),20250318,0,24399,4702,3155,32258,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250318000847,SUCCESS,
삼양홀딩스,000070,00126937,2022,2023,20230316001063,사업보고서 (2022.12),20230316,0,25279,5831,1254,32366,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20230316001063,SUCCESS,
삼양홀딩스,000070,00126937,2023,2024,20240314001491,사업보고서 (2023.12),20240314,0,25437,5986,1035,32460,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240314001491,SUCCESS,
